Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Total_Agricultural_Land,Barren_Land
Dry chillies,2006,Kharif     ,Andhra Pradesh,164886,609739,845.2,21057591.06,36274.92,3.297727273,193983.5294,29097.52941
Dry chillies,2006,Rabi       ,Andhra Pradesh,49069,155979,845.2,6266601.99,10795.18,3.181363636,57728.23529,8659.235294
Ginger,2006,Whole Year ,Andhra Pradesh,2439,10301,845.2,311484.69,536.58,3.558,2869.411765,430.4117647
Gram,2006,Rabi       ,Andhra Pradesh,601745,653429,845.2,76848853.95,132383.9,1.465,707935.2941,106190.2941
Groundnut,2006,Kharif     ,Andhra Pradesh,1106630,332732,845.2,141327717.3,243458.6,0.874545455,1301917.647,195287.6471
Groundnut,2006,Rabi       ,Andhra Pradesh,227602,409905,845.2,29067051.42,50072.44,1.98,267767.0588,40165.05882
Horse-gram,2006,Kharif     ,Andhra Pradesh,10311,4554,845.2,1316817.81,2268.42,0.435,12130.58824,1819.588235
Horse-gram,2006,Rabi       ,Andhra Pradesh,53703,25476,845.2,6858410.13,11814.66,0.4105,63180,9477
Jowar,2006,Kharif     ,Andhra Pradesh,163068,163689,845.2,20825414.28,35874.96,0.90952381,191844.7059,28776.70588
Jowar,2006,Rabi       ,Andhra Pradesh,259348,246903,845.2,33121333.08,57056.56,1.494545455,305115.2941,45767.29412
Linseed,2006,Rabi       ,Andhra Pradesh,2830,777,845.2,361419.3,622.6,0.266,3329.411765,499.4117647
Maize,2006,Kharif     ,Andhra Pradesh,535709,1284991,845.2,68415396.39,117855.98,2.942727273,630245.8824,94536.88235
Maize,2006,Rabi       ,Andhra Pradesh,190172,1177003,845.2,24286866.12,41837.84,6.363181818,223731.7647,33559.76471
Mesta,2006,Kharif     ,Andhra Pradesh,61894,543574,845.2,7904482.74,13616.68,8.692222222,72816.47059,10922.47059
Moong(Green Gram),2006,Kharif     ,Andhra Pradesh,246320,80062,845.2,31457527.2,54190.4,0.312727273,289788.2353,43468.23529
Moong(Green Gram),2006,Rabi       ,Andhra Pradesh,147594,63534,845.2,18849229.74,32470.68,0.597142857,173640,26046
Niger seed,2006,Kharif     ,Andhra Pradesh,14547,5334,845.2,1857797.37,3200.34,0.4225,17114.11765,2567.117647
Onion,2006,Kharif     ,Andhra Pradesh,18601,306843,845.2,2375533.71,4092.22,15.37055556,21883.52941,3282.529412
Onion,2006,Rabi       ,Andhra Pradesh,12439,272602,845.2,1588584.69,2736.58,19.59105263,14634.11765,2195.117647
Other  Rabi pulses,2006,Rabi       ,Andhra Pradesh,14792,5811,845.2,1889086.32,3254.24,0.443125,17402.35294,2610.352941
Other Kharif pulses,2006,Kharif     ,Andhra Pradesh,10190,3106,845.2,1301364.9,2241.8,0.298666667,11988.23529,1798.235294
Potato,2006,Whole Year ,Andhra Pradesh,3645,44728,845.2,465502.95,801.9,12.436,4288.235294,643.2352941
Ragi,2006,Kharif     ,Andhra Pradesh,50702,50883,845.2,6475152.42,11154.44,1.205,59649.41176,8947.411765
Ragi,2006,Rabi       ,Andhra Pradesh,8220,13611,845.2,1049776.2,1808.4,1.621818182,9670.588235,1450.588235
Rapeseed &Mustard,2006,Rabi       ,Andhra Pradesh,5387,2780,845.2,687973.77,1185.14,0.285,6337.647059,950.6470588
Rice,2006,Kharif     ,Andhra Pradesh,2640870,6949186,845.2,337265507.7,580991.4,2.689090909,3106905.882,466035.8824
Rice,2006,Rabi       ,Andhra Pradesh,1337020,4922944,845.2,170750824.2,294144.4,3.036818182,1572964.706,235944.7059
Safflower,2006,Rabi       ,Andhra Pradesh,14302,8994,845.2,1826508.42,3146.44,0.50125,16825.88235,2523.882353
Sesamum,2006,Kharif     ,Andhra Pradesh,79449,18224,845.2,10146431.79,17478.78,0.213809524,93469.41176,14020.41176
Sesamum,2006,Rabi       ,Andhra Pradesh,34163,10521,845.2,4362956.73,7515.86,0.311,40191.76471,6028.764706
Small millets,2006,Kharif     ,Andhra Pradesh,33676,17007,845.2,4300761.96,7408.72,0.5475,39618.82353,5942.823529
Small millets,2006,Rabi       ,Andhra Pradesh,360,225,845.2,45975.6,79.2,0.6225,423.5294118,63.52941176
Soyabean,2006,Kharif     ,Andhra Pradesh,102503,156222,845.2,13090658.13,22550.66,1.191111111,120591.7647,18088.76471
Sugarcane,2006,Whole Year ,Andhra Pradesh,264333,21691638,845.2,33757967.43,58153.26,86.37380952,310980,46647
Sunflower,2006,Whole Year ,Andhra Pradesh,445693,329437,845.2,56919453.03,98052.46,0.896363636,524344.7059,78651.70588
Sweet potato,2006,Whole Year ,Andhra Pradesh,997,8608,845.2,127326.87,219.34,8.821764706,1172.941176,175.9411765
Tapioca,2006,Whole Year ,Andhra Pradesh,19732,209152,845.2,2519973.72,4341.04,8.95,23214.11765,3482.117647
Tobacco,2006,Whole Year ,Andhra Pradesh,191822,582747,845.2,24497587.62,42200.84,4.163571429,225672.9412,33850.94118
Urad,2006,Kharif     ,Andhra Pradesh,82015,22555,845.2,10474135.65,18043.3,0.339473684,96488.23529,14473.23529
Urad,2006,Rabi       ,Andhra Pradesh,415708,327533,845.2,53090068.68,91455.76,0.793636364,489068.2353,73360.23529
Wheat,2006,Rabi       ,Andhra Pradesh,10016,8796,845.2,1279143.36,2203.52,0.68,11783.52941,1767.529412
Arecanut,2006,Whole Year ,Assam,69104,55044,1774.9,8825271.84,15202.88,0.817037037,81298.82353,12194.82353
Arhar/Tur,2006,Kharif     ,Assam,6676,4769,1774.9,852591.96,1468.72,0.706666667,7854.117647,1178.117647
Banana,2006,Whole Year ,Assam,43250,598857,1774.9,5523457.5,9515,13.70814815,50882.35294,7632.352941
Castor seed,2006,Kharif     ,Assam,1303,552,1774.9,166406.13,286.66,0.4636,1532.941176,229.9411765
Coconut ,2006,Whole Year ,Assam,18595,135725000,1774.9,2374767.45,4090.9,6233.948519,21876.47059,3281.470588
Cotton(lint),2006,Kharif     ,Assam,1374,648,1774.9,175473.54,302.28,0.518461538,1616.470588,242.4705882
Dry chillies,2006,Whole Year ,Assam,15453,9975,1774.9,1973502.63,3399.66,0.633703704,18180,2727
Gram,2006,Rabi       ,Assam,1895,971,1774.9,242010.45,416.9,0.486666667,2229.411765,334.4117647
Jute,2006,Kharif     ,Assam,57663,558564,1774.9,7364141.73,12685.86,9.352962963,67838.82353,10175.82353
Linseed,2006,Rabi       ,Assam,8169,4142,1774.9,1043262.99,1797.18,0.484583333,9610.588235,1441.588235
Maize,2006,Kharif     ,Assam,18657,13557,1774.9,2382685.47,4104.54,0.6252,21949.41176,3292.411765
Masoor,2006,Rabi       ,Assam,20137,10602,1774.9,2571696.27,4430.14,0.5184,23690.58824,3553.588235
Mesta,2006,Kharif     ,Assam,4860,24668,1774.9,620670.6,1069.2,4.6988,5717.647059,857.6470588
Moong(Green Gram),2006,Rabi       ,Assam,7374,3395,1774.9,941733.54,1622.28,0.444074074,8675.294118,1301.294118
Niger seed,2006,Kharif     ,Assam,10029,5147,1774.9,1280803.59,2206.38,0.53,11798.82353,1769.823529
Onion,2006,Whole Year ,Assam,6870,16775,1774.9,877367.7,1511.4,2.384814815,8082.352941,1212.352941
Other  Rabi pulses,2006,Rabi       ,Assam,14486,7916,1774.9,1850007.06,3186.92,0.508076923,17042.35294,2556.352941
Peas & beans (Pulses),2006,Rabi       ,Assam,19143,11716,1774.9,2444752.53,4211.46,0.616666667,22521.17647,3378.176471
Potato,2006,Whole Year ,Assam,77712,504557,1774.9,9924599.52,17096.64,6.657407407,91425.88235,13713.88235
Rapeseed &Mustard,2006,Rabi       ,Assam,238426,115874,1774.9,30449384.46,52453.72,0.495185185,280501.1765,42075.17647
Rice,2006,Autumn     ,Assam,379441,335708,1774.9,48458410.11,83477.02,1.028148148,446401.1765,66960.17647
Rice,2006,Summer     ,Assam,312471,630162,1774.9,39905671.41,68743.62,1.837037037,367612.9412,55141.94118
Rice,2006,Winter     ,Assam,1504647,1950144,1774.9,192158468.4,331022.34,1.269259259,1770172.941,265525.9412
Sesamum,2006,Kharif     ,Assam,13378,7586,1774.9,1708504.38,2943.16,0.496666667,15738.82353,2360.823529
Small millets,2006,Kharif     ,Assam,7473,3843,1774.9,954376.83,1644.06,0.500384615,8791.764706,1318.764706
Sugarcane,2006,Whole Year ,Assam,26627,1055337,1774.9,3400534.17,5857.94,39.10666667,31325.88235,4698.882353
Sweet potato,2006,Whole Year ,Assam,8112,28443,1774.9,1035983.52,1784.64,3.406666667,9543.529412,1431.529412
Tapioca,2006,Whole Year ,Assam,2671,12602,1774.9,341113.41,587.62,4.426923077,3142.352941,471.3529412
Tobacco,2006,Whole Year ,Assam,563,301,1774.9,71900.73,123.86,0.5928,662.3529412,99.35294118
Turmeric,2006,Whole Year ,Assam,11741,8538,1774.9,1499443.11,2583.02,0.723703704,13812.94118,2071.941176
Urad,2006,Rabi       ,Assam,37079,19056,1774.9,4735359.09,8157.38,0.507777778,43622.35294,6543.352941
Wheat,2006,Rabi       ,Assam,59573,67413,1774.9,7608067.83,13106.06,1.134444444,70085.88235,10512.88235
Arecanut,2006,Whole Year ,Karnataka,168401,223939,1146.3,21506491.71,37048.22,1.286666667,198118.8235,29717.82353
Arhar/Tur,2006,Kharif     ,Karnataka,595697,262673,1146.3,76076463.87,131053.34,0.4648,700820,105123
Bajra,2006,Kharif     ,Karnataka,386456,161903,1146.3,49354295.76,85020.32,0.485,454654.1176,68198.11765
Bajra,2006,Rabi       ,Karnataka,44,43,1146.3,5619.24,9.68,0.95,51.76470588,7.764705882
Bajra,2006,Summer     ,Karnataka,1236,1415,1146.3,157849.56,271.92,0.81,1454.117647,218.1176471
Banana,2006,Whole Year ,Karnataka,42646,851437,1146.3,5446320.66,9382.12,19.95814815,50171.76471,7525.764706
Black pepper,2006,Whole Year ,Karnataka,13726,29025,1146.3,1752947.46,3019.72,2.216,16148.23529,2422.235294
Cardamom,2006,Whole Year ,Karnataka,23827,1377,1146.3,3042946.17,5241.94,0.0575,28031.76471,4204.764706
Castor seed,2006,Kharif     ,Karnataka,20230,16163,1146.3,2583573.3,4450.6,0.827727273,23800,3570
Coconut ,2006,Whole Year ,Karnataka,403671,1635839000,1146.3,51552823.41,88807.62,4164.715926,474907.0588,71236.05882
Coriander,2006,Whole Year ,Karnataka,5998,888,1146.3,766004.58,1319.56,0.113157895,7056.470588,1058.470588
Cotton(lint),2006,Whole Year ,Karnataka,375982,536329,1146.3,48016661.22,82716.04,1.405,442331.7647,66349.76471
Dry chillies,2006,Whole Year ,Karnataka,132521,129945,1146.3,16924256.91,29154.62,1.618888889,155907.0588,23386.05882
Garlic,2006,Whole Year ,Karnataka,6615,4401,1146.3,844801.65,1455.3,1.276666667,7782.352941,1167.352941
Ginger,2006,Whole Year ,Karnataka,17472,228694,1146.3,2231349.12,3843.84,12.83352941,20555.29412,3083.294118
Gram,2006,Kharif     ,Karnataka,134069,18350,1146.3,17121951.99,29495.18,0.164285714,157728.2353,23659.23529
Gram,2006,Rabi       ,Karnataka,650809,298461,1146.3,83114817.39,143177.98,0.445833333,765657.6471,114848.6471
Groundnut,2006,Kharif     ,Karnataka,617992,211868,1146.3,78923758.32,135958.24,0.4028,727049.4118,109057.4118
Groundnut,2006,Rabi       ,Karnataka,145532,115262,1146.3,18585891.72,32017.04,0.9432,171214.1176,25682.11765
Horse-gram,2006,Kharif     ,Karnataka,111793,40225,1146.3,14277084.03,24594.46,0.370434783,131521.1765,19728.17647
Horse-gram,2006,Rabi       ,Karnataka,212545,62867,1146.3,27144121.95,46759.9,0.368076923,250052.9412,37507.94118
Jowar,2006,Kharif     ,Karnataka,287515,335000,1146.3,36718540.65,63253.3,1.11047619,338252.9412,50737.94118
Jowar,2006,Rabi       ,Karnataka,1126999,787340,1146.3,143929042.3,247939.78,0.603684211,1325881.176,198882.1765
Jowar,2006,Summer     ,Karnataka,4797,7207,1146.3,612624.87,1055.34,1.466666667,5643.529412,846.5294118
Linseed,2006,Rabi       ,Karnataka,12283,3759,1146.3,1568661.93,2702.26,0.325384615,14450.58824,2167.588235
Maize,2006,Kharif     ,Karnataka,865850,2354023,1146.3,110577703.5,190487,2.7448,1018647.059,152797.0588
Maize,2006,Rabi       ,Karnataka,78902,237039,1146.3,10076574.42,17358.44,2.7208,92825.88235,13923.88235
Maize,2006,Summer     ,Karnataka,15780,50467,1146.3,2015263.8,3471.6,3.203333333,18564.70588,2784.705882
Mesta,2006,Whole Year ,Karnataka,1998,2667,1146.3,255164.58,439.56,1.543333333,2350.588235,352.5882353
Moong(Green Gram),2006,Kharif     ,Karnataka,440724,50943,1146.3,56284862.04,96959.28,0.158695652,518498.8235,77774.82353
Moong(Green Gram),2006,Rabi       ,Karnataka,9041,2729,1146.3,1154626.11,1989.02,0.29375,10636.47059,1595.470588
Niger seed,2006,Kharif     ,Karnataka,27426,5197,1146.3,3502574.46,6033.72,0.213043478,32265.88235,4839.882353
Onion,2006,Whole Year ,Karnataka,151289,859132,1146.3,19321118.19,33283.58,6.4348,177987.0588,26698.05882
Other  Rabi pulses,2006,Rabi       ,Karnataka,33685,8233,1146.3,4301911.35,7410.7,0.269259259,39629.41176,5944.411765
Other Kharif pulses,2006,Kharif     ,Karnataka,116341,88598,1146.3,14857909.11,25595.02,0.785,136871.7647,20530.76471
Potato,2006,Whole Year ,Karnataka,63374,561001,1146.3,8093493.54,13942.28,12.976875,74557.64706,11183.64706
Ragi,2006,Kharif     ,Karnataka,554193,584337,1146.3,70775988.03,121922.46,1.002631579,651991.7647,97798.76471
Ragi,2006,Rabi       ,Karnataka,57571,65934,1146.3,7352392.41,12665.62,1.616153846,67730.58824,10159.58824
Ragi,2006,Summer     ,Karnataka,7007,14714,1146.3,894863.97,1541.54,1.996153846,8243.529412,1236.529412
Rapeseed &Mustard,2006,Kharif     ,Karnataka,3691,974,1146.3,471377.61,812.02,0.218235294,4342.352941,651.3529412
Rice,2006,Kharif     ,Karnataka,1066981,2723038,1146.3,136264143.5,234735.82,2.428148148,1255271.765,188290.7647
Rice,2006,Rabi       ,Karnataka,44063,99796,1146.3,5627285.73,9693.86,2.335333333,51838.82353,7775.823529
Rice,2006,Summer     ,Karnataka,284632,822692,1146.3,36350352.72,62619.04,2.6825,334861.1765,50229.17647
Safflower,2006,Rabi       ,Karnataka,80607,59629,1146.3,10294319.97,17733.54,0.673333333,94831.76471,14224.76471
Sannhamp,2006,Whole Year ,Karnataka,25,5,1146.3,3192.75,5.5,0.136666667,29.41176471,4.411764706
Sesamum,2006,Kharif     ,Karnataka,85356,50207,1146.3,10900814.76,18778.32,0.597307692,100418.8235,15062.82353
Small millets,2006,Kharif     ,Karnataka,39586,21403,1146.3,5055528.06,8708.92,0.442105263,46571.76471,6985.764706
Soyabean,2006,Kharif     ,Karnataka,131139,97209,1146.3,16747761.69,28850.58,0.763333333,154281.1765,23142.17647
Sugarcane,2006,Whole Year ,Karnataka,269440,23641948,1146.3,34410182.4,59276.8,90.2876,316988.2353,47548.23529
Sunflower,2006,Kharif     ,Karnataka,595080,168016,1146.3,75997666.8,130917.6,0.407916667,700094.1176,105014.1176
Sunflower,2006,Rabi       ,Karnataka,583983,175417,1146.3,74580468.93,128476.26,0.612608696,687038.8235,103055.8235
Sunflower,2006,Summer     ,Karnataka,51506,40829,1146.3,6577831.26,11331.32,0.877727273,60595.29412,9089.294118
Sweet potato,2006,Whole Year ,Karnataka,3014,25028,1146.3,384917.94,663.08,6.240714286,3545.882353,531.8823529
Tapioca,2006,Whole Year ,Karnataka,815,6869,1146.3,104083.65,179.3,9.43375,958.8235294,143.8235294
Tobacco,2006,Whole Year ,Karnataka,104030,46318,1146.3,13285671.3,22886.6,0.471875,122388.2353,18358.23529
Turmeric,2006,Whole Year ,Karnataka,7477,37752,1146.3,954887.67,1644.94,4.7735,8796.470588,1319.470588
Urad,2006,Kharif     ,Karnataka,134069,18350,1146.3,17121951.99,29495.18,0.164285714,157728.2353,23659.23529
Urad,2006,Rabi       ,Karnataka,10986,5776,1146.3,1403022.06,2416.92,0.520714286,12924.70588,1938.705882
Wheat,2006,Rabi       ,Karnataka,269494,223806,1146.3,34417078.74,59288.68,0.810714286,317051.7647,47557.76471
Arecanut,2006,Whole Year ,Kerala,102078,109968,3429.7,13036381.38,22457.16,0.933571429,120091.7647,18013.76471
Banana,2006,Whole Year ,Kerala,59143,463766,3429.7,7553152.53,13011.46,7.988571429,69580,10437
Black pepper,2006,Whole Year ,Kerala,216709,64264,3429.7,27675906.39,47675.98,0.217857143,254951.7647,38242.76471
Cardamom,2006,Whole Year ,Kerala,41362,8545,3429.7,5282341.02,9099.64,0.057,48661.17647,7299.176471
Cashewnut,2006,Whole Year ,Kerala,70463,61680,3429.7,8998829.73,15501.86,0.577857143,82897.64706,12434.64706
Coconut ,2006,Whole Year ,Kerala,872943,6054000000,3429.7,111483550.5,192047.46,6522.32,1026991.765,154048.7647
Cotton(lint),2006,Kharif     ,Kerala,1300,1690,3429.7,166023,286,1.3,1529.411765,229.4117647
Garlic,2006,Whole Year ,Kerala,221,3757,3429.7,28223.91,48.62,17,260,39
Ginger,2006,Whole Year ,Kerala,11082,42496,3429.7,1415282.22,2438.04,3.239285714,13037.64706,1955.647059
Groundnut,2006,Kharif     ,Kerala,2813,2081,3429.7,359248.23,618.86,0.74,3309.411765,496.4117647
Jowar,2006,Kharif     ,Kerala,1827,929,3429.7,233326.17,401.94,0.593333333,2149.411765,322.4117647
Other Cereals,2006,Kharif     ,Kerala,625,489,3429.7,79818.75,137.5,0.793333333,735.2941176,110.2941176
Ragi,2006,Kharif     ,Kerala,516,417,3429.7,65898.36,113.52,0.7225,607.0588235,91.05882353
Rice,2006,Autumn     ,Kerala,83859,191241,3429.7,10709632.89,18448.98,2.270769231,98657.64706,14798.64706
Rice,2006,Summer     ,Kerala,35946,103571,3429.7,4590663.66,7908.12,2.497857143,42289.41176,6343.411765
Rice,2006,Winter     ,Kerala,143724,346763,3429.7,18354992.04,31619.28,2.286428571,169087.0588,25363.05882
Sesamum,2006,Kharif     ,Kerala,732,294,3429.7,93483.72,161.04,0.397,861.1764706,129.1764706
Sugarcane,2006,Whole Year ,Kerala,1161,65790,3429.7,148271.31,255.42,33.668,1365.882353,204.8823529
Sweet potato,2006,Whole Year ,Kerala,505,6405,3429.7,64493.55,111.1,11.50071429,594.1176471,89.11764706
Tapioca,2006,Whole Year ,Kerala,87128,2518999,3429.7,11127116.88,19168.16,29.46214286,102503.5294,15375.52941
Tobacco,2006,Whole Year ,Kerala,31,50,3429.7,3959.01,6.82,1.61,36.47058824,5.470588235
Turmeric,2006,Whole Year ,Kerala,3917,9980,3429.7,500240.07,861.74,2.168571429,4608.235294,691.2352941
Arecanut,2006,Whole Year ,Tamil Nadu,5526,11904,927.9,705725.46,1215.72,1.603636364,6501.176471,975.1764706
Arhar/Tur,2006,Whole Year ,Tamil Nadu,29127,21334,927.9,3719809.17,6407.94,0.744,34267.05882,5140.058824
Bajra,2006,Whole Year ,Tamil Nadu,65512,98969,927.9,8366537.52,14412.64,1.588333333,77072.94118,11560.94118
Banana,2006,Whole Year ,Tamil Nadu,105206,5637371,927.9,13435858.26,23145.32,54.02931034,123771.7647,18565.76471
Black pepper,2006,Whole Year ,Tamil Nadu,3703,843,927.9,472910.13,814.66,0.186923077,4356.470588,653.4705882
Cardamom,2006,Whole Year ,Tamil Nadu,4441,404,927.9,567160.11,977.02,0.0675,5224.705882,783.7058824
Cashewnut,2006,Whole Year ,Tamil Nadu,103968,51057,927.9,13277753.28,22872.96,0.503571429,122315.2941,18347.29412
Castor seed,2006,Whole Year ,Tamil Nadu,5289,1674,927.9,675458.19,1163.58,0.35375,6222.352941,933.3529412
Coconut ,2006,Whole Year ,Tamil Nadu,374604,5429900000,927.9,47840676.84,82412.88,13584.69138,440710.5882,66106.58824
Coriander,2006,Whole Year ,Tamil Nadu,17425,5676,927.9,2225346.75,3833.5,0.321304348,20500,3075
Cotton(lint),2006,Whole Year ,Tamil Nadu,100339,220864,927.9,12814293.69,22074.58,2.281111111,118045.8824,17706.88235
Dry chillies,2006,Whole Year ,Tamil Nadu,61418,42719,927.9,7843692.78,13511.96,0.803928571,72256.47059,10838.47059
Garlic,2006,Whole Year ,Tamil Nadu,528,3139,927.9,67430.88,116.16,5.304,621.1764706,93.17647059
Ginger,2006,Whole Year ,Tamil Nadu,669,12468,927.9,85437.99,147.18,18.65625,787.0588235,118.0588235
Gram,2006,Whole Year ,Tamil Nadu,5933,3831,927.9,757703.43,1305.26,0.53,6980,1047
Groundnut,2006,Whole Year ,Tamil Nadu,508032,1006475,927.9,64880766.72,111767.04,2.085357143,597684.7059,89652.70588
Horse-gram,2006,Whole Year ,Tamil Nadu,55635,32549,927.9,7105145.85,12239.7,0.5884,65452.94118,9817.941176
Jowar,2006,Whole Year ,Tamil Nadu,294376,293940,927.9,37594758.96,64762.72,1.212916667,346324.7059,51948.70588
Maize,2006,Whole Year ,Tamil Nadu,197782,759112,927.9,25258739.22,43512.04,4.483076923,232684.7059,34902.70588
Moong(Green Gram),2006,Whole Year ,Tamil Nadu,134071,77404,927.9,17122207.41,29495.62,0.588214286,157730.5882,23659.58824
Onion,2006,Whole Year ,Tamil Nadu,29587,258333,927.9,3778555.77,6509.14,8.720454545,34808.23529,5221.235294
Potato,2006,Whole Year ,Tamil Nadu,5190,77443,927.9,662814.9,1141.8,15.11333333,6105.882353,915.8823529
Ragi,2006,Whole Year ,Tamil Nadu,95478,148148,927.9,12193495.38,21005.16,2.046153846,112327.0588,16849.05882
Rapeseed &Mustard,2006,Whole Year ,Tamil Nadu,344,80,927.9,43932.24,75.68,0.150769231,404.7058824,60.70588235
Rice,2006,Kharif     ,Tamil Nadu,1931397,6610607,927.9,246658710.9,424907.34,3.584827586,2272231.765,340834.7647
Sesamum,2006,Whole Year ,Tamil Nadu,52624,27328,927.9,6720611.04,11577.28,0.491111111,61910.58824,9286.588235
Small millets,2006,Kharif     ,Tamil Nadu,52702,61473,927.9,6730572.42,11594.44,1.057826087,62002.35294,9300.352941
Sugarcane,2006,Whole Year ,Tamil Nadu,391201,48037332,927.9,49960279.71,86064.22,118.1746429,460236.4706,69035.47059
Sunflower,2006,Whole Year ,Tamil Nadu,26194,47884,927.9,3345235.74,5762.68,1.726538462,30816.47059,4622.470588
Sweet potato,2006,Whole Year ,Tamil Nadu,1127,18933,927.9,143929.17,247.94,17.74740741,1325.882353,198.8823529
Tapioca,2006,Whole Year ,Tamil Nadu,139628,5635436,927.9,17831891.88,30718.16,41.62785714,164268.2353,24640.23529
Tobacco,2006,Whole Year ,Tamil Nadu,5041,7724,927.9,643786.11,1109.02,1.443333333,5930.588235,889.5882353
Turmeric,2006,Whole Year ,Tamil Nadu,30528,175388,927.9,3898730.88,6716.16,5.748148148,35915.29412,5387.294118
Urad,2006,Whole Year ,Tamil Nadu,251014,143053,927.9,32056997.94,55223.08,0.6425,295310.5882,44296.58824
Arecanut,2006,Whole Year ,West Bengal,24382,106052,1631.4,3113825.22,5364.04,1.957647059,28684.70588,4302.705882
Arhar/Tur,2006,Rabi       ,West Bengal,2044,1412,1631.4,261039.24,449.68,0.445454545,2404.705882,360.7058824
Bajra,2006,Kharif     ,West Bengal,79,31,1631.4,10089.09,17.38,0.39,92.94117647,13.94117647
Barley,2006,Rabi       ,West Bengal,2848,2610,1631.4,363718.08,626.56,0.993333333,3350.588235,502.5882353
Cardamom,2006,Whole Year ,West Bengal,2874,704,1631.4,367038.54,632.28,0.24,3381.176471,507.1764706
Castor seed,2006,Rabi       ,West Bengal,58,49,1631.4,7407.18,12.76,0.84,68.23529412,10.23529412
Coconut ,2006,Whole Year ,West Bengal,25068,359065200,1631.4,3201434.28,5514.96,13259.37833,29491.76471,4423.764706
Cotton(lint),2006,Kharif     ,West Bengal,5650,14678,1631.4,721561.5,1243,3.898571429,6647.058824,997.0588235
Dry chillies,2006,Whole Year ,West Bengal,52246,63596,1631.4,6672336.66,11494.12,1.115,61465.88235,9219.882353
Ginger,2006,Kharif     ,West Bengal,9816,20061,1631.4,1253601.36,2159.52,1.741666667,11548.23529,1732.235294
Gram,2006,Rabi       ,West Bengal,31212,23978,1631.4,3986084.52,6866.64,0.699333333,36720,5508
Groundnut,2006,Whole Year ,West Bengal,57395,98246,1631.4,7329915.45,12626.9,1.445,67523.52941,10128.52941
Horse-gram,2006,Rabi       ,West Bengal,2414,1139,1631.4,308291.94,531.08,0.531818182,2840,426
Jowar,2006,Kharif     ,West Bengal,1395,606,1631.4,178155.45,306.9,0.473333333,1641.176471,246.1764706
Jute,2006,Kharif     ,West Bengal,594874,8411537,1631.4,75971358.54,130872.28,14.85647059,699851.7647,104977.7647
Khesari,2006,Rabi       ,West Bengal,32153,30496,1631.4,4106259.63,7073.66,0.802222222,37827.05882,5674.058824
Linseed,2006,Rabi       ,West Bengal,5046,1213,1631.4,644424.66,1110.12,0.240769231,5936.470588,890.4705882
Maize,2006,Kharif     ,West Bengal,85446,253505,1631.4,10912308.66,18798.12,2.723125,100524.7059,15078.70588
Masoor,2006,Rabi       ,West Bengal,64239,42670,1631.4,8203962.69,14132.58,0.561764706,75575.29412,11336.29412
Mesta,2006,Kharif     ,West Bengal,9660,94530,1631.4,1233678.6,2125.2,9.248333333,11364.70588,1704.705882
Moong(Green Gram),2006,Kharif     ,West Bengal,874,325,1631.4,111618.54,192.28,0.4475,1028.235294,154.2352941
Moong(Green Gram),2006,Rabi       ,West Bengal,1238,801,1631.4,158104.98,272.36,0.60375,1456.470588,218.4705882
Moong(Green Gram),2006,Summer     ,West Bengal,10532,3934,1631.4,1345041.72,2317.04,0.403125,12390.58824,1858.588235
Niger seed,2006,Kharif     ,West Bengal,4930,3218,1631.4,629610.3,1084.6,0.481428571,5800,870
Other Kharif pulses,2006,Kharif     ,West Bengal,1052,562,1631.4,134350.92,231.44,0.501666667,1237.647059,185.6470588
Peas & beans (Pulses),2006,Rabi       ,West Bengal,12495,8436,1631.4,1595736.45,2748.9,0.679411765,14700,2205
Potato,2006,Whole Year ,West Bengal,407941,5051962,1631.4,52098145.11,89747.02,13.35111111,479930.5882,71989.58824
Ragi,2006,Kharif     ,West Bengal,13135,14974,1631.4,1677470.85,2889.7,0.706,15452.94118,2317.941176
Rapeseed &Mustard,2006,Rabi       ,West Bengal,421522,338581,1631.4,53832574.62,92734.84,0.688333333,495908.2353,74386.23529
Rice,2006,Autumn     ,West Bengal,283859,575294,1631.4,36251632.89,62448.98,2.001111111,333951.7647,50092.76471
Rice,2006,Summer     ,West Bengal,1401233,4520656,1631.4,178951466.4,308271.26,3.028888889,1648509.412,247276.4118
Rice,2006,Winter     ,West Bengal,4001936,9649942,1631.4,511087246.6,880425.92,2.291666667,4708160,706224
Safflower,2006,Rabi       ,West Bengal,399,242,1631.4,50956.29,87.78,0.556666667,469.4117647,70.41176471
Sannhamp,2006,Whole Year ,West Bengal,1294,7252,1631.4,165256.74,284.68,5.58125,1522.352941,228.3529412
Sesamum,2006,Whole Year ,West Bengal,200389,186144,1631.4,25591679.19,44085.58,0.905555556,235751.7647,35362.76471
Small millets,2006,Kharif     ,West Bengal,1604,1129,1631.4,204846.84,352.88,0.591666667,1887.058824,283.0588235
Small millets,2006,Rabi       ,West Bengal,1650,1881,1631.4,210721.5,363,1.265,1941.176471,291.1764706
Soyabean,2006,Kharif     ,West Bengal,531,317,1631.4,67814.01,116.82,0.5625,624.7058824,93.70588235
Sugarcane,2006,Whole Year ,West Bengal,16583,1266705,1631.4,2117814.93,3648.26,79.200625,19509.41176,2926.411765
Sunflower,2006,Kharif     ,West Bengal,13674,17686,1631.4,1746306.54,3008.28,1.2025,16087.05882,2413.058824
